price,street,number,city,sqft,bedrooms,baths,corner,pool,lakeshore,foreclosed,recorded
199.6,Big Bear Lake Dr,3703,Arlington,2339,4,2,0,0,0,0,10/10/2014
210.1,Big Bear Lake Dr,3704,Arlington,2422,3,3,0,0,0,0,10/10/2014
213.2,Big Bear Lake Dr,3705,Arlington,2682,4,3,0,1,0,0,10/10/2014
219.0,Big Bear Lake Dr,3706,Arlington,2650,4,3,0,0,0,0,10/10/2014
213.7,Big Bear Lake Dr,3707,Arlington,2839,4,2,0,0,0,0,10/10/2014
218.5,Big Bear Lake Dr,3706,Arlington,2650,4,3,0,0,0,0,10/10/2014
232.2,Big Bear Lake Dr,3708,Arlington,2832,4,3,1,1,0,0,10/10/2014
212.6,Big Bear Lake Dr,3709,Arlington,2356,4,3,1,0,0,0,10/10/2014
279.9,Big Bear Lake Dr,3803,Arlington,2828,4,2.5,0,1,0,0,10/10/2014
198.9,Big Bear Lake Dr,3805,Arlington,2321,3,2,0,1,0,0,10/10/2014
227.8,Big Bear Lake Dr,3901,Arlington,3634,4,2,0,0,0,0,10/10/2014
207.1,Big Bear Lake Dr,3903,Arlington,2410,3,2,0,0,0,0,10/10/2014
196.6,Big Bear Lake Dr,3907,Arlington,2244,3,3,0,0,0,0,10/10/2014
210.3,Big Bear Lake Dr,3905,Arlington,2343,3,2,0,1,0,0,10/10/2014
209.0,Big Bear Lake Dr,4001,Arlington,2577,3,2,0,0,0,0,10/10/2014
201.3,Big Bear Lake Dr,4003,Arlington,2577,4,3,0,0,0,0,10/10/2014
237.4,Big Bear Lake Dr,4005,Arlington,2766,3,2,0,1,0,0,10/10/2014
229.8,Big Bear Lake Dr,4007,Arlington,2664,3,3,0,1,0,0,10/10/2014
219.7,Big Bear Lake Dr,7001,Arlington,2833,4,2,0,0,0,0,10/10/2014
212.0,Big Bear Lake Dr,7000,Arlington,2402,3,2,0,1,0,0,10/10/2014
274.2,Big Bear Lake Dr,7002,Arlington,2926,4,2,0,0,0,0,10/10/2014
225.1,Big Bear Lake Dr,7004,Arlington,2788,4,3,0,0,0,0,10/10/2014
216.8,Big Bear Lake Dr,7005,Arlington,2510,4,2,0,1,0,0,10/10/14
264.6,Big Bear Lake Dr,7006,Arlington,3386,4,4,0,0,0,0,10/10/14
215.3,Big Bear Lake Dr,7009,Arlington,2667,4,3,0,1,0,0,10/10/14
225.4,Big Bear Lake Dr,7008,Arlington,2616,4,3,0,0,0,0,10/10/14
225.8,Big Bear Lake Dr,7101,Arlington,2872,3,3,0,0,0,0,10/10/14
217.7,Big Bear Lake Dr,7100,Arlington,2572,4,2,0,0,0,0,10/10/14
