Magnatude	Date_Time Depth	Depth
1.9	2015/05/03 12:29:16 HST	2.6
0.9	2015/05/03 12:12:18 HST	3.6
0.8	2015/05/03 12:11:02 HST	1.1
1.4	2015/05/03 12:02:29 HST	4.6
0.6	2015/05/03 11:52:31 HST	2.8
0.7	2015/05/03 11:47:54 HST	2.7
1	2015/05/03 11:39:19 HST	5.3
1.1	2015/05/03 11:27:37 HST	3
1.2	2015/05/03 11:11:55 HST	7.8
0.1	2015/05/03 10:53:08 HST	0.9
0.3	2015/05/03 10:51:46 HST	2.3
0.9	2015/05/03 10:49:06 HST	2.5
2.9	2015/05/03 10:44:14 HST	2.4
0.5	2015/05/03 10:44:10 HST	2.4
1	2015/05/03 10:28:40 HST	2.2
0.7	2015/05/03 10:18:04 HST	2.8
0.6	2015/05/03 10:03:48 HST	1.8
1.8	2015/05/03 09:58:37 HST	3.5
1	2015/05/03 09:44:08 HST	4.2
1.1	2015/05/03 09:12:00 HST	2
1.2	2015/05/03 09:06:17 HST	1
0.8	2015/05/03 08:55:26 HST	4.5
0.2	2015/05/03 08:47:29 HST	1.8
2.1	2015/05/03 08:36:58 HST	2.8
0.9	2015/05/03 08:23:48 HST	1.5
1.4	2015/05/03 08:19:26 HST	2.7
1.9	2015/05/03 08:17:16 HST	1.4
1.2	2015/05/03 07:56:08 HST	4.7
1.9	2015/05/03 07:42:31 HST	2.8
1.3	2015/05/03 07:37:09 HST	3.6
0.9	2015/05/03 07:30:00 HST	2.1
1	2015/05/03 07:24:23 HST	5.8
2.1	2015/05/03 07:18:41 HST	25.5
0.8	2015/05/03 07:14:19 HST	3.3
0.6	2015/05/03 07:02:41 HST	2.1
0.9	2015/05/03 06:43:55 HST	3.7
0.5	2015/05/03 06:40:31 HST	1.8
2.1	2015/05/03 06:37:15 HST	2.5
1.2	2015/05/03 06:14:13 HST	2.5
1	2015/05/03 06:13:42 HST	4.7
0.4	2015/05/03 05:44:09 HST	2.8
0.4	2015/05/03 05:42:10 HST	2.3
1.3	2015/05/03 05:07:34 HST	3.7
0.7	2015/05/03 05:05:29 HST	2.9
1.1	2015/05/03 04:57:41 HST	1.3
1.2	2015/05/03 04:42:04 HST	3.5
0.9	2015/05/03 04:35:27 HST	2.5
2.4	2015/05/03 04:28:29 HST	2.7
0.4	2015/05/03 04:27:27 HST	2.7
0.2	2015/05/03 04:14:02 HST	4.7
1.4	2015/05/03 04:09:31 HST	3.3
0.7	2015/05/03 04:03:33 HST	2.5
0.8	2015/05/03 03:56:18 HST	2.6
2	2015/05/03 03:56:04 HST	1.3
0.4	2015/05/03 03:53:18 HST	2.6
1.2	2015/05/03 03:51:33 HST	2.3
0.4	2015/05/03 03:25:26 HST	3
0.5	2015/05/03 03:22:58 HST	0.8
1.1	2015/05/03 03:21:54 HST	2.1
0.7	2015/05/03 02:52:12 HST	2.6
2.1	2015/05/03 02:47:14 HST	2.5
0.3	2015/05/03 02:35:12 HST	1.6
0.1	2015/05/03 02:31:55 HST	4.2
1.2	2015/05/03 02:26:37 HST	2.7
0.6	2015/05/03 02:15:45 HST	1.8
1	2015/05/03 02:11:36 HST	2.9
1.9	2015/05/03 02:09:14 HST	3.4
0.6	2015/05/03 02:07:50 HST	1.6
0.7	2015/05/03 02:05:59 HST	6.2
1.8	2015/05/03 01:59:17 HST	1.3
1.1	2015/05/03 01:47:05 HST	8.4
1	2015/05/03 01:43:47 HST	1.9
0.7	2015/05/03 01:41:53 HST	6.2
0.2	2015/05/03 01:36:43 HST	2.5
2.1	2015/05/03 01:00:41 HST	9.1
0.8	2015/05/03 00:28:40 HST	1.4
0.9	2015/05/03 00:24:18 HST	2.2
1	2015/05/03 00:22:11 HST	5.2
1.8	2015/05/03 00:18:46 HST	6.8
0.5	2015/05/03 00:07:33 HST	3
0.2	2015/05/03 00:01:49 HST	2.7
1	2015/05/02 23:58:06 HST	11.6
0.6	2015/05/02 23:49:38 HST	1.8
0.6	2015/05/02 23:43:00 HST	0
2.6	2015/05/02 23:19:00 HST	1.3
2.4	2015/05/02 23:11:33 HST	1
1	2015/05/02 23:08:11 HST	1.8
0.9	2015/05/02 23:00:13 HST	2.4
