Year	Month	Deviations
1973	11	0.0968
1973	12	0.1728
1974	1	-0.571
1974	2	-0.8418
1974	3	-0.0088
1974	4	-0.0393
1974	5	-0.1366
1974	6	-0.1697
1974	7	-0.1294
1974	8	0.0633
1974	9	-0.2355
1974	10	-0.4047
1974	11	-0.1981
1974	12	-0.2581
1975	1	0.2153
1975	2	0.024
1975	3	0.3745
1975	4	0.1007
1975	5	0.4106
1975	6	-0.1643
1975	7	-0.1814
1975	8	-0.3335
1975	9	0.0096
1975	10	-0.1877
1975	11	-0.2155
1975	12	0.0296
1976	1	0.1787
1976	2	-0.3142
1976	3	-0.7659
1976	4	-0.1774
1976	5	-0.3451
1976	6	-0.2706
1976	7	-0.3642
1976	8	-0.6213
1976	9	-0.1418
1976	10	-0.9312
1976	11	-0.4848
1976	12	-0.0982
1977	1	-0.3962
1977	2	0.0496
1977	3	0.4168
1977	4	0.3897
1977	5	0.4996
1977	6	0.4189
1977	7	0.2584
1977	8	-0.0888
1977	9	-0.2108
1977	10	-0.46
1977	11	0.2886
1977	12	-0.1387
1978	1	-0.1355
1978	2	0.0342
1978	3	0.2931
1978	4	0.6592
1978	5	0.0812
1978	6	-0.193
1978	7	-0.2179
1978	8	-0.5868
1978	9	-0.1682
1978	10	0.0168
1978	11	0.1876
1978	12	-0.1183
1979	1	-0.1892
1979	2	-0.3051
1979	3	0.2557
1979	4	-0.0622
1979	5	-0.303
1979	6	0.0893
1979	7	-0.3439
1979	8	-0.1075
1979	9	0.2588
1979	10	0.0452
1979	11	0.0968
1979	12	0.7712
1980	1	0.0738
1980	2	0.2714
1980	3	-0.1112
1980	4	0.3411
1980	5	0.4699
1980	6	0.1457
1980	7	0.0728
1980	8	-0.1258
1980	9	0.0293
1980	10	0.0515
1980	11	0.7751
1980	12	0.3839
1981	1	1.1376
1981	2	0.7627
1981	3	0.8311
1981	4	0.4938
1981	5	0.4874
1981	6	0.1926
1981	7	0.3459
1981	8	0.5442
1981	9	-0.1151
1981	10	-0.3532
1981	11	-0.0573
1981	12	0.7071
1982	1	-0.2077
1982	2	-0.084
1982	3	-0.4688
1982	4	0.2283
1982	5	0.051
1982	6	-0.1749
1982	7	0.2991
1982	8	-0.1383
1982	9	-0.0958
1982	10	-0.0407
1982	11	0.0858
1982	12	0.6334
1983	1	0.6036
1983	2	0.5093
1983	3	0.3712
1983	4	0.1997
1983	5	0.2547
1983	6	-0.221
1983	7	-0.1113
1983	8	0.3611
1983	9	0.3639
1983	10	-0.1791
1983	11	0.6405
1983	12	0.1013
1984	1	0.2688
1984	2	-0.2364
1984	3	0.3229
1984	4	-0.2584
1984	5	0.5414
1984	6	-0.3866
1984	7	0.2503
1984	8	0.0025
1984	9	-0.0499
1984	10	-0.1341
1984	11	-0.1755
