Date,Open,High,Low,Close,Volume,Adj Close,Return
1/23/1952,24.54,24.54,24.54,24.54,1680000,24.54,-0.00486618
1/24/1952,24.56,24.56,24.56,24.56,1570000,24.56,0.000814996
1/25/1952,24.55,24.55,24.55,24.55,1650000,24.55,-0.000407166
1/28/1952,24.61,24.61,24.61,24.61,1590000,24.61,0.002443992
1/29/1952,24.57,24.57,24.57,24.57,1730000,24.57,-0.001625356
1/30/1952,24.23,24.23,24.23,24.23,1880000,24.23,-0.013838014
1/31/1952,24.14,24.14,24.14,24.14,1810000,24.14,-0.003714404
2/1/1952,24.3,24.3,24.3,24.3,1350000,24.3,0.006628003
2/4/1952,24.12,24.12,24.12,24.12,1640000,24.12,-0.007407407
2/5/1952,24.11,24.11,24.11,24.11,1590000,24.11,-0.000414594
2/6/1952,24.18,24.18,24.18,24.18,1310000,24.18,0.00290336
2/7/1952,24.11,24.11,24.11,24.11,1170000,24.11,-0.002894955
2/8/1952,24.24,24.24,24.24,24.24,1350000,24.24,0.005391954
2/11/1952,24.11,24.11,24.11,24.11,1140000,24.11,-0.005363036
2/13/1952,23.92,23.92,23.92,23.92,1300000,23.92,-0.007880547
2/14/1952,23.87,23.87,23.87,23.87,1340000,23.87,-0.002090301
2/15/1952,23.86,23.86,23.86,23.86,1200000,23.86,-0.000418936
2/18/1952,23.74,23.74,23.74,23.74,1140000,23.74,-0.005029338
2/19/1952,23.36,23.36,23.36,23.36,1630000,23.36,-0.01600674
2/20/1952,23.09,23.09,23.09,23.09,1970000,23.09,-0.011558219
2/21/1952,23.16,23.16,23.16,23.16,1360000,23.16,0.003031615
2/25/1952,23.23,23.23,23.23,23.23,1200000,23.23,0.003022453
2/26/1952,23.15,23.15,23.15,23.15,1080000,23.15,-0.003443823
2/27/1952,23.18,23.18,23.18,23.18,1260000,23.18,0.001295896
2/28/1952,23.29,23.29,23.29,23.29,1150000,23.29,0.00474547
2/29/1952,23.26,23.26,23.26,23.26,1000000,23.26,-0.001288106
3/3/1952,23.29,23.29,23.29,23.29,1020000,23.29,0.001289768
3/4/1952,23.68,23.68,23.68,23.68,1570000,23.68,0.016745384
3/5/1952,23.71,23.71,23.71,23.71,1380000,23.71,0.001266892
3/6/1952,23.69,23.69,23.69,23.69,1210000,23.69,-0.000843526
3/7/1952,23.72,23.72,23.72,23.72,1410000,23.72,0.001266357
3/10/1952,23.6,23.6,23.6,23.6,1170000,23.6,-0.005059022
3/11/1952,23.62,23.62,23.62,23.62,1210000,23.62,0.000847458
3/12/1952,23.73,23.73,23.73,23.73,1310000,23.73,0.00465707
3/13/1952,23.75,23.75,23.75,23.75,1270000,23.75,0.000842815
3/14/1952,23.75,23.75,23.75,23.75,1350000,23.75,0
3/17/1952,23.92,23.92,23.92,23.92,1150000,23.92,0.007157895
3/18/1952,23.87,23.87,23.87,23.87,1170000,23.87,-0.002090301
3/19/1952,23.82,23.82,23.82,23.82,1090000,23.82,-0.00209468
3/20/1952,23.89,23.89,23.89,23.89,1240000,23.89,0.002938707
3/21/1952,23.93,23.93,23.93,23.93,1290000,23.93,0.001674341
3/24/1952,23.93,23.93,23.93,23.93,1040000,23.93,0
3/25/1952,23.79,23.79,23.79,23.79,1060000,23.79,-0.005850397
3/26/1952,23.78,23.78,23.78,23.78,1030000,23.78,-0.000420345
3/27/1952,23.99,23.99,23.99,23.99,1370000,23.99,0.00883095
3/28/1952,24.18,24.18,24.18,24.18,1560000,24.18,0.007919967
3/31/1952,24.37,24.37,24.37,24.37,1680000,24.37,0.007857734
4/1/1952,24.18,24.18,24.18,24.18,1720000,24.18,-0.007796471
4/2/1952,24.12,24.12,24.12,24.12,1260000,24.12,-0.00248139
4/3/1952,24.12,24.12,24.12,24.12,1280000,24.12,0
4/4/1952,24.02,24.02,24.02,24.02,1190000,24.02,-0.004145937
4/7/1952,23.8,23.8,23.8,23.8,1230000,23.8,-0.009159034
4/8/1952,23.91,23.91,23.91,23.91,1090000,23.91,0.004621849
4/9/1952,23.94,23.94,23.94,23.94,980000,23.94,0.001254705
4/10/1952,24.11,24.11,24.11,24.11,1130000,24.11,0.007101086
4/14/1952,23.95,23.95,23.95,23.95,1790000,23.95,-0.006636251
4/15/1952,23.65,23.65,23.65,23.65,1720000,23.65,-0.012526096
4/16/1952,23.58,23.58,23.58,23.58,1400000,23.58,-0.002959831
4/17/1952,23.41,23.41,23.41,23.41,1620000,23.41,-0.0072095
4/18/1952,23.5,23.5,23.5,23.5,1240000,23.5,0.003844511
4/21/1952,23.69,23.69,23.69,23.69,1110000,23.69,0.008085106
4/22/1952,23.58,23.58,23.58,23.58,1240000,23.58,-0.004643309
4/23/1952,23.48,23.48,23.48,23.48,1090000,23.48,-0.004240882
4/24/1952,23.43,23.43,23.43,23.43,1580000,23.43,-0.002129472
4/25/1952,23.54,23.54,23.54,23.54,1240000,23.54,0.004694836
4/28/1952,23.55,23.55,23.55,23.55,980000,23.55,0.000424809
4/29/1952,23.49,23.49,23.49,23.49,1170000,23.49,-0.002547771
4/30/1952,23.32,23.32,23.32,23.32,1000000,23.32,-0.007237122
5/1/1952,23.17,23.17,23.17,23.17,1400000,23.17,-0.006432247
5/2/1952,23.56,23.56,23.56,23.56,1300000,23.56,0.01683211
5/5/1952,23.66,23.66,23.66,23.66,860000,23.66,0.004244482
5/6/1952,23.67,23.67,23.67,23.67,1120000,23.67,0.000422654
5/7/1952,23.81,23.81,23.81,23.81,1120000,23.81,0.00591466
5/8/1952,23.86,23.86,23.86,23.86,1230000,23.86,0.002099958
5/9/1952,23.84,23.84,23.84,23.84,960000,23.84,-0.000838223
5/12/1952,23.75,23.75,23.75,23.75,800000,23.75,-0.003775168
5/13/1952,23.78,23.78,23.78,23.78,890000,23.78,0.001263158
5/14/1952,23.68,23.68,23.68,23.68,950000,23.68,-0.004205214
5/15/1952,23.6,23.6,23.6,23.6,1050000,23.6,-0.003378378
5/16/1952,23.56,23.56,23.56,23.56,910000,23.56,-0.001694915
5/19/1952,23.61,23.61,23.61,23.61,780000,23.61,0.002122241
5/20/1952,23.74,23.74,23.74,23.74,1150000,23.74,0.005506141
5/21/1952,23.78,23.78,23.78,23.78,1210000,23.78,0.00168492
5/22/1952,23.91,23.91,23.91,23.91,1360000,23.91,0.005466779
5/23/1952,23.89,23.89,23.89,23.89,1150000,23.89,-0.00083647
5/26/1952,23.94,23.94,23.94,23.94,940000,23.94,0.002092926
5/27/1952,23.88,23.88,23.88,23.88,1040000,23.88,-0.002506266
5/28/1952,23.84,23.84,23.84,23.84,1130000,23.84,-0.001675042
5/29/1952,23.86,23.86,23.86,23.86,1100000,23.86,0.000838926
6/2/1952,23.8,23.8,23.8,23.8,1190000,23.8,-0.002514669
6/3/1952,23.78,23.78,23.78,23.78,940000,23.78,-0.000840336
6/4/1952,23.95,23.95,23.95,23.95,1200000,23.95,0.007148865
6/5/1952,24.1,24.1,24.1,24.1,1410000,24.1,0.006263048
6/6/1952,24.26,24.26,24.26,24.26,1520000,24.26,0.006639004
6/9/1952,24.37,24.37,24.37,24.37,1270000,24.37,0.004534213
6/10/1952,24.23,24.23,24.23,24.23,1220000,24.23,-0.005744768
6/11/1952,24.31,24.31,24.31,24.31,1190000,24.31,0.003301692
6/12/1952,24.31,24.31,24.31,24.31,1370000,24.31,0
6/13/1952,24.37,24.37,24.37,24.37,1130000,24.37,0.00246812
6/16/1952,24.3,24.3,24.3,24.3,980000,24.3,-0.002872384
6/17/1952,24.33,24.33,24.33,24.33,920000,24.33,0.001234568
6/18/1952,24.43,24.43,24.43,24.43,1270000,24.43,0.004110152
6/19/1952,24.51,24.51,24.51,24.51,1320000,24.51,0.003274662
6/20/1952,24.59,24.59,24.59,24.59,1190000,24.59,0.003263974
6/23/1952,24.56,24.56,24.56,24.56,1200000,24.56,-0.001220008
6/24/1952,24.6,24.6,24.6,24.6,1200000,24.6,0.001628664
6/25/1952,24.66,24.66,24.66,24.66,1230000,24.66,0.002439024
6/26/1952,24.75,24.75,24.75,24.75,1190000,24.75,0.003649635
6/27/1952,24.83,24.83,24.83,24.83,1210000,24.83,0.003232323
6/30/1952,24.96,24.96,24.96,24.96,1380000,24.96,0.005235602
7/1/1952,25.12,25.12,25.12,25.12,1450000,25.12,0.006410256
7/2/1952,25.06,25.06,25.06,25.06,1320000,25.06,-0.002388535
7/3/1952,25.05,25.05,25.05,25.05,1150000,25.05,-0.000399042
7/7/1952,24.97,24.97,24.97,24.97,1080000,24.97,-0.003193613
7/8/1952,24.96,24.96,24.96,24.96,850000,24.96,-0.000400481
7/9/1952,24.86,24.86,24.86,24.86,1120000,24.86,-0.00400641
7/10/1952,24.81,24.81,24.81,24.81,1010000,24.81,-0.002011263
7/11/1952,24.98,24.98,24.98,24.98,1040000,24.98,0.006852076
7/14/1952,25.03,25.03,25.03,25.03,1090000,25.03,0.002001601
7/15/1952,25.16,25.16,25.16,25.16,1220000,25.16,0.005193767
7/16/1952,25.16,25.16,25.16,25.16,1120000,25.16,0
7/17/1952,25.05,25.05,25.05,25.05,1010000,25.05,-0.004372019
7/18/1952,24.85,24.85,24.85,24.85,1020000,24.85,-0.007984032
7/21/1952,24.95,24.95,24.95,24.95,780000,24.95,0.004024145
7/22/1952,25,25,25,25,910000,25,0.002004008
7/23/1952,25.11,25.11,25.11,25.11,1020000,25.11,0.0044
7/24/1952,25.24,25.24,25.24,25.24,1270000,25.24,0.00517722
7/25/1952,25.16,25.16,25.16,25.16,1130000,25.16,-0.003169572
7/28/1952,25.2,25.2,25.2,25.2,1030000,25.2,0.001589825
7/29/1952,25.26,25.26,25.26,25.26,1010000,25.26,0.002380952
7/30/1952,25.37,25.37,25.37,25.37,1240000,25.37,0.004354711
7/31/1952,25.4,25.4,25.4,25.4,1230000,25.4,0.001182499
8/1/1952,25.45,25.45,25.45,25.45,1050000,25.45,0.001968504
8/4/1952,25.43,25.43,25.43,25.43,950000,25.43,-0.000785855
8/5/1952,25.46,25.46,25.46,25.46,1050000,25.46,0.001179709
8/6/1952,25.44,25.44,25.44,25.44,1140000,25.44,-0.000785546
8/7/1952,25.52,25.52,25.52,25.52,1180000,25.52,0.003144654
8/8/1952,25.55,25.55,25.55,25.55,1170000,25.55,0.001175549
8/11/1952,25.52,25.52,25.52,25.52,1160000,25.52,-0.001174168
8/12/1952,25.31,25.31,25.31,25.31,1110000,25.31,-0.00822884
8/13/1952,25.28,25.28,25.28,25.28,990000,25.28,-0.001185302
8/14/1952,25.28,25.28,25.28,25.28,930000,25.28,0
8/15/1952,25.2,25.2,25.2,25.2,890000,25.2,-0.003164557
8/18/1952,24.94,24.94,24.94,24.94,1090000,24.94,-0.01031746
8/19/1952,24.89,24.89,24.89,24.89,980000,24.89,-0.002004812
8/20/1952,24.95,24.95,24.95,24.95,960000,24.95,0.002410607
8/21/1952,24.98,24.98,24.98,24.98,800000,24.98,0.001202405
8/22/1952,24.99,24.99,24.99,24.99,910000,24.99,0.00040032
8/25/1952,24.87,24.87,24.87,24.87,840000,24.87,-0.004801921
8/26/1952,24.83,24.83,24.83,24.83,890000,24.83,-0.001608363
8/27/1952,24.94,24.94,24.94,24.94,930000,24.94,0.004430125
8/28/1952,24.97,24.97,24.97,24.97,980000,24.97,0.001202887
8/29/1952,25.03,25.03,25.03,25.03,890000,25.03,0.002402883
9/2/1952,25.15,25.15,25.15,25.15,970000,25.15,0.004794247
9/3/1952,25.25,25.25,25.25,25.25,1200000,25.25,0.003976143
9/4/1952,25.24,25.24,25.24,25.24,1120000,25.24,-0.00039604
9/5/1952,25.21,25.21,25.21,25.21,1040000,25.21,-0.00118859
9/8/1952,25.11,25.11,25.11,25.11,1170000,25.11,-0.00396668
9/9/1952,24.86,24.86,24.86,24.86,1310000,24.86,-0.009956193
9/10/1952,24.69,24.69,24.69,24.69,1590000,24.69,-0.006838294
9/11/1952,24.72,24.72,24.72,24.72,970000,24.72,0.001215067
9/12/1952,24.71,24.71,24.71,24.71,1040000,24.71,-0.000404531
9/15/1952,24.45,24.45,24.45,24.45,1100000,24.45,-0.010522056
9/16/1952,24.53,24.53,24.53,24.53,1140000,24.53,0.003271984
9/17/1952,24.58,24.58,24.58,24.58,1000000,24.58,0.00203832
9/18/1952,24.51,24.51,24.51,24.51,1030000,24.51,-0.002847844
9/19/1952,24.57,24.57,24.57,24.57,1150000,24.57,0.00244798
9/22/1952,24.59,24.59,24.59,24.59,1160000,24.59,0.000814001
9/23/1952,24.7,24.7,24.7,24.7,1240000,24.7,0.004473363
9/24/1952,24.79,24.79,24.79,24.79,1390000,24.79,0.003643725
9/25/1952,24.81,24.81,24.81,24.81,1210000,24.81,0.000806777
9/26/1952,24.73,24.73,24.73,24.73,1180000,24.73,-0.003224506
9/29/1952,24.68,24.68,24.68,24.68,970000,24.68,-0.002021836
9/30/1952,24.54,24.54,24.54,24.54,1120000,24.54,-0.005672609
10/1/1952,24.48,24.48,24.48,24.48,1060000,24.48,-0.002444988
10/2/1952,24.52,24.52,24.52,24.52,1040000,24.52,0.001633987
10/3/1952,24.5,24.5,24.5,24.5,980000,24.5,-0.000815661
10/6/1952,24.44,24.44,24.44,24.44,1070000,24.44,-0.00244898
10/7/1952,24.4,24.4,24.4,24.4,950000,24.4,-0.001636661
10/8/1952,24.58,24.58,24.58,24.58,1260000,24.58,0.007377049
10/9/1952,24.57,24.57,24.57,24.57,1090000,24.57,-0.000406835
10/10/1952,24.55,24.55,24.55,24.55,1070000,24.55,-0.000814001
10/14/1952,24.48,24.48,24.48,24.48,1130000,24.48,-0.002851324
10/15/1952,24.06,24.06,24.06,24.06,1730000,24.06,-0.017156863
10/16/1952,23.91,23.91,23.91,23.91,1730000,23.91,-0.006234414
10/17/1952,24.2,24.2,24.2,24.2,1360000,24.2,0.012128816
10/20/1952,24.13,24.13,24.13,24.13,1050000,24.13,-0.002892562
10/21/1952,24.07,24.07,24.07,24.07,990000,24.07,-0.002486531
10/22/1952,23.8,23.8,23.8,23.8,1160000,23.8,-0.011217283
10/23/1952,23.87,23.87,23.87,23.87,1260000,23.87,0.002941176
