OBS,data,Open,High,Low,Close,Volume,return
147,4/27/2001,69.53,69.68,66.21,67.12,60786200,1.2815
148,4/30/2001,68.53,69.06,67.68,67.75,37184100,-0.4057
149,5/1/2001,67.66,70.3,67.6,70.17,41851400,-1.5242
150,5/2/2001,71,71.15,69.35,69.76,46432200,0.2545
151,5/3/2001,69.25,70.18,68.14,68.53,33136700,0.7726
152,5/4/2001,68,71.05,67.96,70.75,59769200,-1.3846
153,5/7/2001,70.83,72.15,70.7,71.38,54678100,-0.3850
154,5/8/2001,71.75,72.1,70.75,72.06,37542000,-0.4118
155,5/9/2001,71.24,71.3,69.86,70.4,38338300,1.0122
156,5/10/2001,71.13,71.24,69.96,70,32167300,0.2475
157,5/11/2001,69.96,70,68.65,69.4,25564400,0.3739
158,5/14/2001,69.13,69.2,68.3,68.72,22484000,0.4276
159,5/15/2001,68.74,69.3,68,68.27,30692800,0.2853
160,5/16/2001,67.7,69.88,67.33,69.16,45946900,-0.5625
161,5/17/2001,69.1,70.14,67.55,68.17,53492400,0.6262
162,5/18/2001,67.69,69.2,67.25,68.09,45302700,0.0510
163,5/21/2001,68.05,69.99,67.75,68.79,51745800,-0.4442
164,5/22/2001,69.45,70.35,69.18,70.31,41727800,-0.9492
165,5/23/2001,70.39,71.6,69.51,69.7,46818700,0.3784
166,5/24/2001,69.94,71.78,69.27,71.72,40390800,-1.2408
167,5/25/2001,71.66,71.9,70.36,70.91,26373800,0.4933
168,5/29/2001,70.8,71.75,70.05,70.34,35605400,0.3505
169,5/30/2001,69.56,70.58,68.65,69.19,43250900,0.7159
170,5/31/2001,69.49,70.38,68.4,69.18,35341300,0.0063
171,6/1/2001,69.6,70.7,68.7,70.34,28793800,-0.7222
172,6/4/2001,70.55,71.02,69.8,70.78,21868300,-0.2708
173,6/5/2001,70.76,73.08,70.5,72.6,44727100,-1.1026
174,6/6/2001,72.89,73.48,71.55,72.36,40011400,0.1438
175,6/7/2001,72.12,73.73,72.08,73.68,33480000,-0.7851
176,6/8/2001,73.7,73.75,72.05,73.19,25933500,0.2898
177,6/11/2001,72.85,72.85,71.51,72.12,23672800,0.6396
178,6/12/2001,71.02,72.41,70.81,72.08,33357300,0.0241
179,6/13/2001,72.05,72.3,70.64,70.69,27651200,0.8457
180,6/14/2001,70.22,70.55,68.4,68.9,35986200,1.1139
181,6/15/2001,67.51,68.3,66.4,68.02,54177200,0.5583
182,6/18/2001,67.95,67.96,66.01,66.88,28423400,0.7340
183,6/19/2001,68.21,68.85,66.85,67.32,31728700,-0.2848
184,6/20/2001,67.14,69.59,67.1,69.41,32054200,-1.3278
185,6/21/2001,69.15,70.55,68.92,69.84,34801900,-0.2682
186,6/22/2001,70,70.61,68.58,68.83,25546000,0.6326
187,6/25/2001,69.1,69.81,67.77,68.85,24607800,-0.0126
188,6/26/2001,67.82,70.21,67.7,70.14,31538500,-0.8062
189,6/27/2001,69.86,71.53,69.36,71.14,34599900,-0.6148
190,6/28/2001,71.55,76.15,70.53,72.74,64487800,-0.9659
191,6/29/2001,72.6,73.41,71.4,73,47141900,-0.1550
192,7/2/2001,72.05,73.15,70.15,70.6,36405100,1.4518
193,7/3/2001,70.3,70.8,69.93,70.47,14018700,0.0800
194,7/5/2001,70.22,70.72,68.44,68.51,24621300,1.2250
195,7/6/2001,68.3,68.4,65.67,66.06,33733900,1.5815
196,7/9/2001,66.2,66.91,65.04,65.69,33238300,0.2439
197,7/10/2001,65.9,66.25,64.35,64.48,33281300,0.8074
198,7/11/2001,64.21,66.75,64.2,66.5,36911300,-1.3397
199,7/12/2001,70.7,72.05,70.33,71.6,64039000,-3.2091
200,7/13/2001,71.4,72,70.94,71.34,29467300,0.1580
201,7/16/2001,71.45,72.16,70.15,71.18,27995400,0.0975
202,7/17/2001,70.66,72.01,70.14,71.82,31620500,-0.3887
203,7/18/2001,70.6,71.5,69.87,70.57,28795400,0.7625
204,7/19/2001,71.22,73,71.22,72.57,38274700,-1.2137
205,7/20/2001,68.03,69.4,67.94,69.18,62101800,2.0777
206,7/23/2001,69.24,69.24,66.35,67.09,39999700,1.3323
207,7/24/2001,67,67.99,65.7,66.32,33765100,0.5013
208,7/25/2001,66.26,67.52,65.61,67.48,37032700,-0.7531
209,7/26/2001,67.12,67.32,65.5,66.59,38987000,0.5766
210,7/27/2001,66.05,66.25,65.05,65.47,32698000,0.7367
211,7/30/2001,65.65,66.88,65.54,65.8,21098200,-0.2184
212,7/31/2001,66.01,67.39,65.85,66.19,29515800,-0.2566
213,8/1/2001,66.8,66.81,65.76,66.47,27839500,-0.1833
214,8/2/2001,67.21,67.54,66.26,67.45,27099200,-0.6356
215,8/3/2001,67.3,67.36,66,66.89,21630200,0.3621
216,8/6/2001,66.53,67.12,65.68,66.13,13915800,0.4963
217,8/7/2001,66.04,67.05,65.99,66.35,15673900,-0.1442
218,8/8/2001,66.51,67.24,64.49,64.86,27498200,0.9864
219,8/9/2001,64.98,65.55,64.3,65.01,22768100,-0.1003
220,8/10/2001,64.77,65.86,62.9,65.52,25878200,-0.3394
221,8/13/2001,65.24,65.99,64.75,65.83,16337700,-0.2050
222,8/14/2001,65.75,66.09,64.45,64.69,18240600,0.7587
223,8/15/2001,64.71,65.05,63.2,63.2,19751500,1.0120
224,8/16/2001,62.84,64.71,62.7,64.62,21952800,-0.9650
225,8/17/2001,63.78,64.13,61.5,61.88,26117100,1.8817
226,8/20/2001,61.66,62.75,61.1,62.7,24185600,-0.5717
227,8/21/2001,62.7,63.2,60.71,60.78,23555900,1.3507
228,8/22/2001,61.13,61.15,59.08,60.66,39053600,0.0858
229,8/23/2001,60.67,61.53,59,59.12,25906600,1.1168
230,8/24/2001,59.6,62.28,59.23,62.05,31699500,-2.1007
231,8/27/2001,61.9,63.36,61.57,62.31,22281400,-0.1816
232,8/28/2001,62.34,62.95,60.58,60.74,23711400,1.1083
233,8/29/2001,61.05,61.3,59.54,60.25,24085000,0.3518
234,8/30/2001,59.04,59.66,56.52,56.94,48816000,2.4540
235,8/31/2001,56.85,58.06,56.3,57.05,28950400,-0.0838
236,9/4/2001,57.19,59.08,56.07,56.1,33594600,0.7293
237,9/5/2001,56.18,58.39,55.39,57.74,44735300,-1.2514
238,9/6/2001,56.56,58.39,55.9,56.02,56178400,1.3134
239,9/7/2001,56.11,57.36,55.31,55.4,44931900,0.4833
240,9/10/2001,54.92,57.95,54.7,57.58,42235900,-1.6762
241,9/17/2001,54.02,55.1,52.8,52.91,63751000,3.6734
242,9/18/2001,53.41,55,53.17,54.32,41591300,-1.1422
243,9/19/2001,54.46,54.7,50.6,53.87,63475100,0.3613
244,9/20/2001,52.35,52.61,50.67,50.76,58991600,2.5825
245,9/21/2001,47.92,50.6,47.5,49.71,92488300,0.9078
246,9/24/2001,50.65,52.45,49.87,52.01,42790100,-1.9643
247,9/25/2001,52.27,53,50.16,51.3,42470300,0.5969
248,9/26/2001,51.51,51.8,49.55,50.27,29262200,0.8808
249,9/27/2001,50.1,50.68,48,49.96,40595600,0.2686
